,mass,feh,radius,Teff,lum,grav,numax,e_Teff,e_lum,e_feh,e_numax,fDnu_1.70,e_fDnu_1.70,fDnu_2.30,e_fDnu_2.30,fDnu_0.25,e_fDnu_0.25,fDnu_0.29,e_fDnu_0.29,fDnu,e_fDnu
16,1.0,0.4,4.154120844783695,4543.255408270395,6.623271484429546,0.0579484398194901,201.91465198109427,109.03812979848948,0.13246542968859093,0.1,4.038293039621886,0.978304948360709,0.00191689285665253,0.9742703022467956,0.0014903495588201587,0.9755861809774002,0.002269624929471137,0.9768572222588979,0.00218918154530634,0.9766980125069316,0.002575962128678666
17,1.0,0.4,5.991300953034549,4426.251300747357,12.411727616944358,0.027858500018128247,98.34433739010791,106.23003121793657,0.24823455233888717,0.1,1.9668867478021583,0.9668464664269868,0.002146374561492581,0.9610641604918796,0.0017994398236370057,0.9630300768378125,0.0032888051495565396,0.9658022533626632,0.0023584066743572163,0.9650232261127063,0.003574638162124999
18,1.4,-0.4,1.2280532206763586,7838.2342045159985,5.128059035821917,0.9283113466800708,2462.601865092258,188.11762090838397,0.10256118071643835,0.1,49.25203730184516,0.909656555777134,0.0028362649951597096,0.9067933566357921,0.002557107965988903,0.9099467332960763,0.002600706324599855,0.9061307182337693,0.0019653185120078742,0.9085942722640804,0.002997095848700171
19,1.4,-0.4,1.3638065483998312,7865.770447579398,6.413813245259344,0.7527009997441169,1993.248849531727,188.77849074190556,0.12827626490518687,0.1,39.86497699063454,0.9115402952530296,0.003006321729699224,0.9099109570725505,0.0027779459258986394,0.9123471434109963,0.002688375810651178,0.9075171217304522,0.0021392470620243964,0.9104712470553459,0.003185827268626318
20,1.4,-0.4,1.9411556774771535,7608.942961324983,11.377942710502321,0.3715414765547832,1000.3565074864113,182.6146310717996,0.22755885421004643,0.1,20.007130149728226,0.9243744155729307,0.0038968459110518827,0.9268639075606236,0.003553508626611801,0.9267418517167944,0.00309125296451751,0.9239785727975206,0.002916125950906734,0.9255298401272827,0.004046400159044339
21,1.4,-0.4,2.8793764848545687,6387.086988745877,12.429507678884535,0.16886168887412073,496.2372669098832,153.29008772990105,0.2485901535776907,0.1,9.924745338197665,0.9666352356525485,0.0024833796951311826,0.9884656229981466,0.009387548485836228,0.9742026020246003,0.012405260058535261,0.9684109972753329,0.013593692448309103,0.9728374972081896,0.012613055807612683
22,1.4,-0.4,4.811336455956149,5098.177257082957,14.087595620827932,0.06047788285848217,198.92931035750587,122.35625416999098,0.2817519124165586,0.1,3.9785862071501175,0.9823638289154916,0.0033023432598593416,0.97390418966487,0.0014705996403402422,0.9779679166603964,0.004577884068686866,0.979823978669779,0.005836279698987645,0.9780602252370564,0.005573608399642882
23,1.4,-0.4,6.780336138351187,4969.119614819934,25.250265521190983,0.030452684716558882,101.46015555863411,119.25887075567843,0.5050053104238197,0.1,2.0292031111726825,0.9738045249089178,0.001713198811458705,0.9668998244124944,0.0017189025131674196,0.9711584807541428,0.003539476818387066,0.9724253456062445,0.004226545856033603,0.9714167142089152,0.0038673443388318463
24,1.4,0.0,1.3571668210811136,6641.345657293397,3.2280221063643793,0.7600839605111753,2190.4996549903085,159.39229577504153,0.06456044212728759,0.1,43.80999309980617,0.9674861758492296,0.013359476977554297,0.9717798504448415,0.00676855958495004,0.9711754618689871,0.00724486257234036,0.9716787341347837,0.0034264376855894785,0.9723190544405141,0.00709548070474636
25,1.4,0.0,1.4038052708474125,6959.882724208679,4.1654998184003675,0.7104185586693235,1999.9677867387838,167.0371853810083,0.08330999636800736,0.1,39.999355734775676,0.940960571362868,0.003941299840100498,0.9574010259755245,0.005631528808304698,0.956053528160889,0.011407837861090842,0.9468053561204958,0.008980942055540009,0.9491576254729873,0.012123602108426501
26,1.4,0.0,2.04180903688609,6271.224198314723,5.808784271397563,0.3358132225841763,995.9356810909253,150.50938075955335,0.11617568542795127,0.1,19.918713621818508,0.9935011944669666,0.0035642296522088723,0.9971212951945713,0.006453971271103864,0.9932759656750384,0.008104826669831477,0.9916000358101837,0.005499376199460615,0.9930540330157002,0.006212418358801486
27,1.4,0.0,3.0445474616496657,5099.040581209468,5.644754603624928,0.15103671743792396,496.76154292650494,122.37697394902723,0.11289509207249855,0.1,9.9352308585301,1.007344362985619,0.004598023929980544,0.9918753114299863,0.001650336332089164,0.9957961114156555,0.015210002313547077,1.0093716657841851,0.013501922067831906,1.0049477183959972,0.013190820812716275
28,1.4,0.0,4.834532743407129,4884.603530285135,11.98593680598035,0.0598989243804752,201.28621221164144,117.23048472684324,0.239718736119607,0.1,4.025724244232829,0.9798840462041267,0.0013563360041504158,0.9767752572690945,0.0010513729603205957,0.9776794434475783,0.0020253134477297152,0.9793391713226379,0.002428472362314027,0.9783045240074466,0.001987015676236936
29,1.4,0.0,6.925974638999906,4752.574909181038,22.0456735922023,0.029185439775138534,99.42862178401343,114.0617978203449,0.440913471844046,0.1,1.9885724356802685,0.972967948382494,0.0010598847445533743,0.9661198988579652,0.0014504615349377192,0.9698742415792939,0.003822654526358882,0.9726270741348845,0.003519339406978683,0.9712122323313175,0.003275880485513638
30,1.4,0.4,1.3172381935091135,6031.038592058081,2.0679629562325728,0.8068622674811052,2440.1302891353776,144.74492620939395,0.04135925912465146,0.1,48.80260578270755,1.0041548051850038,0.003024448124974377,1.0057186359139496,0.0016795771641233692,1.0049491029708209,0.0019706507434683607,1.0044292482469521,0.0029126717824383697,1.0055719831409955,0.002016759986345651
31,1.4,0.4,1.436860432522759,6355.084534347383,3.033613121752507,0.6781079945450912,1997.7809234379954,152.52202882433718,0.060672262435050146,0.1,39.95561846875991,0.9888993106141766,0.005086255428768338,0.9977365224580023,0.0038660988110806316,0.998543923485313,0.0069403812458100345,0.9930782304661827,0.005884278478671179,0.9958603248287835,0.007008994803317126
