KIC,inv_r_gaia_K_MIST,inv_r_gaia_K_MIST_err,teff,teff_err,feh,feh_err,flags,Dnu,e_Dnu,numax,e_numax,Phase,fDnu_S16,Rseis_S16,e_Rseis_S16,fDnu_o,e_fDnu_o,fDnu,e_fDnu,Rseis_m,e_Rseis_m,Rseis_o,e_Rseis_o,Rseis,e_Rseis
7877451,0.1045740906906249,0.0024079911286698,4610.01660156,30.0,0.13762845099,0.00569789577276,nan,5.279,0.014,51.98,0.47,1.0,0.9750173998570204,9.356425476401629,0.1026978254268064,0.9754232766749382,0.0015477305766787297,0.9588829094181547,0.00256162967810758,9.117860488080357,0.2277438758074286,9.3642168175955,0.10278334460288352,9.049329187978222,0.0993270807874918
7877673,0.1108136945393592,0.0032276921322272,4630.25,30.0,-0.114441551268,0.00793318729848,nan,4.854,0.012,44.58,0.53,1.0,0.9701174530175614,9.41656288395342,0.12502549026850876,0.9761342894444082,0.0010895915025331826,0.9538881930551036,0.0001539733745083427,8.98103805399545,0.10217245347619297,9.533731417536568,0.12658115909755024,9.104135685672569,0.12087733513805837
7880417,0.2245823598372028,0.0044343902995336,4696.52685547,30.0,0.361498445272,0.00515975244343,nan,14.673,0.024,190.47,0.97,1.0,0.986631182426964,4.586568256409294,0.03138949480441961,0.9881551389954359,6.711518230062552e-09,0.9768066375716147,1.512438629891477e-08,4.529871153251445,1.8678668307625657e-05,4.600748081933186,0.03148653850566352,4.495679998631832,0.03076747495519973
7880893,0.1787262872183647,0.0040249661746169,4890.71191406,30.0,-0.0518225468695,0.00669958861545,nan,11.012,0.01,133.46,1.17,1.0,0.9873519154894801,5.831089895527716,0.055183137561854806,0.987712297449104,0.00039250802034096477,0.9729933413593779,0.0004722612319053576,5.735200181641082,0.07735283614473198,5.835347350398291,0.05522342843748794,5.662725726333794,0.05358980539315656
7887295,0.0682907035587503,0.0019657849918445,4426.72265625,30.0,-0.138301551342,0.00654699280858,nan,2.452,0.045,16.99,0.81,0.0,0.9612918905623049,13.502220497904407,0.8136849358302691,0.9678243653754854,0.003592339713023196,0.9359973129362315,0.0016789654665385623,13.211499226749115,0.2913763565991685,13.686353139347725,0.824781329683437,12.800998380302715,0.7714271550562065
7888403,0.1153463315421819,0.0024751751422289,4561.31298828,30.0,-0.110001549125,0.00643541477621,nan,5.226,0.013,48.17,0.52,1.0,0.967203311272495,8.660029204352943,0.10680329084273182,0.9707101121405912,0.002259386496842597,0.9471136218620502,0.0019559129365520067,7.986140365739234,0.15962771247765062,8.722940594751392,0.10757917085046538,8.304012094151265,0.10241256673908258
7889420,0.1218028373168649,0.0037856305746301,4613.91845703,30.0,0.279998451471,0.00838023424149,nan,6.958,0.016,77.36,0.65,1.0,0.9782096137616815,8.071373748282639,0.08164403021871149,0.9804506139185112,0.0016611712466070294,0.9671557320137507,0.0018418428362895756,7.933485569963036,0.077525061829264,8.10839785560225,0.08201853862720469,7.889989489758622,0.0798092815940075
7901207,0.1005440619018032,0.0027458263194643,4899.79101562,30.0,0.358168452978,0.00550033012405,nan,6.488,0.044,85.17,4.93,1.0,1.0125614049265175,11.28489487017722,0.671799633636954,0.9864107615576454,0.002066489627905399,0.9785060628541179,0.002008507833257678,9.478609488861867,0.1292462191059469,10.709529256122227,0.6375476168325321,10.538573286547393,0.6273704588660955
7903173,0.191631012253315,0.0037668545098861,4955.69677734,30.0,-0.122531548142,0.00712631735951,nan,12.552,0.015,156.25,0.87,1.0,0.9902124127823926,5.319910116781603,0.03603297098347654,0.9912071008516867,0.0030558602682472236,0.9761629448681847,0.0023823185474300956,5.223498653697731,0.07566862740419866,5.33060339599918,0.03610539901539943,5.1700197016814196,0.0350177288347476
7905047,0.1091132652140214,0.002087811526745,4701.8515625,30.0,-0.224141553044,0.0069176768884099,nan,4.9,0.013,45.02,0.46,1.0,0.9701300282335685,9.40391548686929,0.1123496472263959,,,,,,,,,,
7908109,0.1203946916533603,0.0038738963520837,4774.36083984,30.0,-0.7376015186310001,0.01082378719,nan,5.821,0.013,52.82,0.53,1.0,0.9605791806431583,7.723749712041755,0.08823480951474476,0.9835134909541515,3.3703928536965577e-10,0.9548996148988478,1.0053650634223033e-08,7.632673943245309,1.35138338430707e-06,8.096969361273802,0.09249840762251466,7.632684116391938,0.08719449156231537
7909320,0.0695188164946666,0.0018521306874793,4401.93164062,30.0,-0.297581553459,0.00711779342964,nan,2.303,0.014,16.51,0.43,1.0,0.9635987012043341,14.903020232908398,0.43135496886846125,0.9755710449782573,0.0003051819103732645,0.9386382361743154,0.0005115841190293513,13.757219070975511,0.29573650662957185,15.275649433459296,0.4421403972374157,14.140942693500591,0.4092972967892994
7917701,0.0847765922471199,0.0019697566334899,4582.21923828,30.0,0.39087843895,0.0050037465989599,nan,3.898,0.079,35.79,1.17,2.0,0.9785850323754879,11.866267478762753,0.6191384495512321,0.9714689616384371,0.004804677306956828,0.9599184587700094,0.004617931690916677,11.999571816747562,0.8120691011132486,11.694316802237184,0.6101666919658024,11.417885457417562,0.5957435151290009
7937828,0.1817488441994805,0.0058579689200927,4907.30078125,30.0,-0.137991547585,0.00753796100616,nan,10.663,0.016,126.9,1.4,1.0,0.986162669589733,5.9091129950295835,0.06993286391675123,0.9897196984101139,0.0009802579013236112,0.9727091256243525,0.0004575096908907006,5.64397809233896,0.0575747888339615,5.95181749560821,0.07043826092474717,5.748984768817174,0.06803778669240934
7938029,0.0705546755177089,0.0018118625882963,4330.62988281,30.0,0.0439924523234,0.0060289627872399,nan,2.682,0.016,21.06,0.38,1.0,0.9660115782082132,13.972755261486807,0.3061053898922167,0.9739598729186076,0.004285888259674464,0.9468057168146353,0.0031185553282981338,13.576488858017191,0.5600919461956293,14.203635461181559,0.3111633524932474,13.422676763698908,0.29405465330622627
7941728,0.1357609608377798,0.0031228566883246,4791.64892578,30.0,-0.503101527691,0.00810607708991,nan,6.713,0.015,65.49,0.56,1.0,0.9673489799844858,7.315627475895122,0.07420564632278413,0.9856589914502204,0.0033014684419818696,0.9592878584873488,0.0014539278280515933,7.174458355593289,0.012926684748989725,7.595189295428191,0.07704136555178802,7.1942101809113135,0.07297405697809362
