index, star_mass, Xinit, Yinit, Zinit, amlt, fov_shell, fov0_shell, fov_core, fov0_core
7242, 2.26860, 0.69653433, 0.30186951, 0.00159616, 2.498297, 0.006041, 0.003020, 0.016154, 0.008077
7243, 1.46860, 0.73861239, 0.25186951, 0.00951811, 1.798297, 0.006041, 0.003020, 0.006296, 0.003148
7244, 1.26860, 0.70813160, 0.28936951, 0.00249889, 2.323297, 0.006041, 0.003020, 0.001268, 0.000634
7245, 2.06860, 0.74583008, 0.23936951, 0.01480042, 1.623297, 0.006041, 0.003020, 0.015679, 0.007839
7246, 1.66860, 0.67994059, 0.31436951, 0.00568990, 1.973297, 0.006041, 0.003020, 0.011344, 0.005672
7247, 0.86860, 0.70256896, 0.26436951, 0.03306153, 2.673297, 0.006041, 0.003020, 0.000000, 0.000000
7248, 0.81860, 0.74431697, 0.24874451, 0.00693852, 2.104547, 0.006041, 0.003020, 0.000000, 0.000000
7249, 1.61860, 0.66632573, 0.29874451, 0.03492976, 1.404547, 0.006041, 0.003020, 0.010234, 0.005117
7250, 2.01860, 0.77321594, 0.22374451, 0.00303955, 1.754547, 0.006041, 0.003020, 0.015461, 0.007730
7251, 1.21860, 0.71054816, 0.27374451, 0.01570734, 2.454547, 0.006041, 0.003020, 0.000308, 0.000154
7252, 1.41860, 0.73687443, 0.26124451, 0.00188106, 1.579547, 0.006041, 0.003020, 0.004922, 0.002461
7253, 2.21860, 0.67900820, 0.31124451, 0.00974729, 2.279547, 0.006041, 0.003020, 0.016077, 0.008039
7254, 1.81860, 0.75915989, 0.23624451, 0.00459560, 2.629547, 0.006041, 0.003020, 0.013820, 0.006910
7255, 1.01860, 0.69025806, 0.28624451, 0.02349744, 1.929547, 0.006041, 0.003020, 0.000000, 0.000000
7256, 0.91860, 0.67919226, 0.31749451, 0.00331323, 2.367047, 0.006041, 0.003020, 0.000000, 0.000000
7257, 1.71860, 0.71294784, 0.26749451, 0.01955765, 1.667047, 0.006041, 0.003020, 0.012313, 0.006156
7258, 2.11860, 0.69941465, 0.29249451, 0.00809084, 1.317047, 0.006041, 0.003020, 0.015847, 0.007924
7259, 1.31860, 0.71123820, 0.24249451, 0.04626729, 2.017047, 0.006041, 0.003020, 0.002371, 0.001185
7260, 1.11860, 0.68982350, 0.30499451, 0.00518199, 1.842047, 0.006041, 0.003020, 0.000000, 0.000000
7261, 1.91860, 0.71480950, 0.25499451, 0.03019599, 2.542047, 0.006041, 0.003020, 0.014826, 0.007413
7262, 1.51860, 0.71773186, 0.27999451, 0.00227364, 2.192047, 0.006041, 0.003020, 0.007672, 0.003836
7263, 0.71860, 0.75652877, 0.22999451, 0.01347673, 1.492047, 0.006041, 0.003020, 0.000000, 0.000000
7264, 0.72485, 0.71924987, 0.27413513, 0.00661499, 1.891266, 0.006041, 0.003020, 0.000000, 0.000000
7265, 1.52485, 0.73771122, 0.22413513, 0.03815364, 2.591266, 0.006041, 0.003020, 0.007842, 0.003921
7266, 1.92485, 0.69815715, 0.29913513, 0.00270771, 2.241266, 0.006041, 0.003020, 0.014875, 0.007438
7267, 1.12485, 0.73483827, 0.24913513, 0.01602660, 1.541266, 0.006041, 0.003020, 0.000000, 0.000000
7268, 1.32485, 0.71157274, 0.28663513, 0.00179213, 2.416266, 0.006041, 0.003020, 0.002518, 0.001259
7269, 2.12485, 0.75270445, 0.23663513, 0.01066042, 1.716266, 0.006041, 0.003020, 0.015865, 0.007933
7270, 1.72485, 0.68427808, 0.31163513, 0.00408679, 1.366266, 0.006041, 0.003020, 0.012423, 0.006212
7271, 0.92485, 0.71437243, 0.26163513, 0.02399243, 2.066266, 0.006041, 0.003020, 0.000000, 0.000000
7272, 1.02485, 0.75348846, 0.24288513, 0.00362640, 1.628766, 0.006041, 0.003020, 0.000000, 0.000000
7273, 1.82485, 0.68848148, 0.29288513, 0.01863339, 2.328766, 0.006041, 0.003020, 0.013896, 0.006948
7274, 2.22485, 0.72385353, 0.26788513, 0.00826134, 2.678766, 0.006041, 0.003020, 0.016088, 0.008044
7275, 1.42485, 0.64097697, 0.31788513, 0.04113789, 1.978766, 0.006041, 0.003020, 0.005092, 0.002546
7276, 1.22485, 0.76395292, 0.23038513, 0.00566195, 2.153766, 0.006041, 0.003020, 0.000420, 0.000210
7277, 2.02485, 0.69082322, 0.28038513, 0.02879165, 1.453766, 0.006041, 0.003020, 0.015491, 0.007746
7278, 1.62485, 0.74229493, 0.25538513, 0.00231994, 1.803766, 0.006041, 0.003020, 0.010380, 0.005190
7279, 0.82485, 0.68261774, 0.30538513, 0.01199713, 2.503766, 0.006041, 0.003020, 0.000000, 0.000000
7280, 0.87485, 0.68909075, 0.30851013, 0.00239911, 2.285016, 0.006041, 0.003020, 0.000000, 0.000000
7281, 1.67485, 0.72725153, 0.25851013, 0.01423834, 1.585016, 0.006041, 0.003020, 0.011473, 0.005736
7282, 2.07485, 0.71062290, 0.28351013, 0.00586697, 1.935016, 0.006041, 0.003020, 0.015702, 0.007851
